17.3098945416568,4.68042317609718
14.4626,4.67048420275924
14.4626,5.605
15.0692110102878,6.41
15.5662,6.41
14.5787,6.78021
12.85159375,6.78021
12.143470703,8.639677275
12.018875,8.639677275
12.018875,7.3151314
10.8456,7.3151314
10.8456,6.78021
8.70617,6.78021
8.450456608,6.41
8.5722,6.41
7.85954,4.45
4.10731006204833,4.45
4.10731006204833,5.112806517
3.5969086914237,5.112806517
3.5969086914237,4.45
1.89435,4.45
0.543008,7.77696
0.859165955,7.77696
0.859165955,8.155533693
-0.211763285,8.155533693
-0.211763285,7.77696
0,7.77696
0,1.7
16.4232102718351,1.7
17.5,3.11
17.5,3.9
17.25,4.45
17.3098945415564,4.68042317599752
